iter	Logloss
0	0.6891515011
1	0.6852182965
2	0.6810171293
3	0.6769272277
4	0.6738445231
5	0.6701254801
6	0.6669317336
7	0.6628143131
8	0.6595243614
9	0.6572534323
10	0.6542215494
11	0.6515892111
12	0.6496554404
13	0.6463117479
14	0.6439080974
15	0.6415002669
16	0.6391075431
17	0.6369169427
18	0.6339586512
19	0.6311546503
20	0.6292863745
21	0.6266103896
22	0.6249696527
23	0.6227413859
24	0.6215687044
25	0.6197910348
26	0.6187008359
27	0.6171191938
28	0.614878191
29	0.6135528776
30	0.6118318047
31	0.610555116
32	0.608694404
33	0.6070047256
34	0.6060652465
35	0.6040713234
36	0.6023512087
37	0.6003435546
38	0.5993153521
39	0.5974949723
40	0.5968593483
41	0.59533673
42	0.5936976617
43	0.5914777766
44	0.5905744482
45	0.5894475039
46	0.5878717897
47	0.5867317636
48	0.5858765603
49	0.5845075208
50	0.5829084519
51	0.5811554925
52	0.57909787
53	0.5776025996
54	0.5761264226
55	0.5744442479
56	0.5727378926
57	0.5713148791
58	0.5703905683
59	0.5693265473
60	0.568427765
61	0.5671692171
62	0.5658572708
63	0.5642446063
64	0.5626282869
65	0.5619807628
66	0.5608628478
67	0.5597046642
68	0.5580351629
69	0.556626122
70	0.5553822615
71	0.5545096057
72	0.5532671006
73	0.5524234078
74	0.5515693595
75	0.5507234883
76	0.5494692216
77	0.5485511251
78	0.5471329266
79	0.5456402384
80	0.5447703166
81	0.5439312582
82	0.5429674993
83	0.5423198532
84	0.5410963378
85	0.5401501829
86	0.5391616941
87	0.5381229279
88	0.5364615484
89	0.5355520557
90	0.5344331949
91	0.5338414996
92	0.5328412607
93	0.5321538647
94	0.5312460558
95	0.5303827595
96	0.5297031714
97	0.5286373425
98	0.5272865692
99	0.5264009117
100	0.5251701879
101	0.5237914028
102	0.5226674332
103	0.5216192498
104	0.5205802916
105	0.5196134127
106	0.5178846704
107	0.5165649908
108	0.5155810976
109	0.5150311893
110	0.5144005669
111	0.5133100287
112	0.5125023154
113	0.5115066054
114	0.5105229551
115	0.5094419988
116	0.508768088
117	0.5077001582
118	0.5064020574
119	0.5050733851
120	0.5036765269
121	0.5027579821
122	0.5020189221
123	0.5012835222
124	0.5005360658
125	0.4995406013
126	0.4981807314
127	0.4974197304
128	0.4969300895
129	0.4957403141
130	0.4950505356
131	0.4943657792
132	0.4934746505
133	0.4927260793
134	0.4920281937
135	0.4914210825
136	0.4904494986
137	0.4891842276
138	0.4876839085
139	0.4867311005
140	0.4856345555
141	0.4849257237
142	0.4839346692
143	0.4828060649
144	0.4822995865
145	0.4817439587
146	0.4808667718
147	0.4798142431
148	0.4788602511
149	0.4784052753
150	0.4770985849
151	0.4764411479
152	0.4752708989
153	0.4741630537
154	0.4731731635
155	0.4723837491
156	0.47090994
157	0.4705144538
158	0.4698838534
159	0.4693794193
160	0.4688186087
161	0.4678109925
162	0.4667292777
163	0.4657271852
164	0.4648851704
165	0.4638964863
166	0.4633902663
167	0.46225552
168	0.4617948126
169	0.460371547
170	0.4595165888
171	0.4586501137
172	0.4578790932
173	0.4570582419
174	0.456309756
175	0.455695843
176	0.4549732159
177	0.4541874461
178	0.4534802969
179	0.4525103007
180	0.4512729394
181	0.4508783409
182	0.4503685833
183	0.4490957073
184	0.4483292839
185	0.4475163275
186	0.4468749866
187	0.4461943887
188	0.4453719631
189	0.4446922186
190	0.4439369895
191	0.4431864242
192	0.4428359735
193	0.4419499024
194	0.441438635
195	0.4409224794
196	0.4403251341
197	0.4396453999
198	0.4388333468
199	0.4383608701
200	0.4373173195
201	0.4364224802
202	0.4353917051
203	0.4344785971
204	0.4331076529
205	0.4317838465
206	0.431405744
207	0.4306086268
208	0.4292997152
209	0.4284977469
210	0.4275101349
211	0.4263331142
212	0.4258126186
213	0.424858024
214	0.4242291046
215	0.4232822278
216	0.4222492595
217	0.4214662316
218	0.4209980108
219	0.4202263309
220	0.4192689617
221	0.4180531262
222	0.4170479671
223	0.4159779302
224	0.4150799712
225	0.4136144296
226	0.4130652287
227	0.4120567744
228	0.4114960169
229	0.410370146
230	0.4094239282
231	0.4088706449
232	0.4080057867
233	0.4072453305
234	0.4063152031
235	0.4058843919
236	0.4049940423
237	0.4039256411
238	0.4032447583
239	0.4019357515
240	0.4010153395
241	0.3997037307
242	0.3990396982
243	0.3982944283
244	0.3973850953
245	0.3962589605
246	0.3957231803
247	0.3951557172
248	0.3940160816
249	0.3931022084
250	0.3924130441
251	0.3918578075
252	0.3909591561
253	0.3903910581
254	0.3896215766
255	0.3887377199
256	0.3879752046
257	0.387253578
258	0.3862164993
259	0.3855208406
260	0.384736795
261	0.3836780011
262	0.38299633
263	0.3825750853
264	0.3817857382
265	0.3814035941
266	0.3807455811
267	0.3799367384
268	0.3793871161
269	0.3786432828
270	0.3780288659
271	0.3772301196
272	0.3765844557
273	0.3755488957
274	0.374685605
275	0.3738178012
276	0.3730070922
277	0.3725353804
278	0.3720569496
279	0.3714375169
280	0.3709835488
281	0.3703259609
282	0.3694178436
283	0.3684353497
284	0.3677843893
285	0.3672953006
286	0.3663481257
287	0.3656918577
288	0.3653109802
289	0.3644657295
290	0.3636543695
291	0.3630854785
292	0.362592056
293	0.3620255227
294	0.3612206675
295	0.360494231
296	0.3600988323
297	0.3596407005
298	0.3591310384
299	0.3583595108
